section,page_title,owner,page_type,attachments
"Onboarding","First Week Plan for New Engineers","Engineering Operations","onboarding guide","welcome-deck.pptx; first-week-plan.docx"
"Onboarding","Developer Workstation Setup","Developer Platform","onboarding guide","workstation-checklist.md"
"Onboarding","Accounts and Access on Day One","Identity Team","onboarding guide",""
"Onboarding","Team Rituals and Cadence","Engineering Operations","onboarding guide",""
"Onboarding","First Month Milestones","Engineering Operations","onboarding guide",""
"Onboarding","Onboarding Buddy Responsibilities","People Operations","onboarding guide",""
"Engineering Handbook","Git Branching and Pull Request Workflow","Developer Platform","engineering standard","git-workflow-cheatsheet.pdf"
"Engineering Handbook","Code Review Standards","Developer Platform","engineering standard",""
"Engineering Handbook","Coding Standards and Formatting","Architecture Office","engineering standard","coding-standards.md"
"Engineering Handbook","Architecture Decision Records","Architecture Office","engineering standard","adr-template.docx"
"Engineering Handbook","Testing Strategy","Quality Engineering","engineering standard","testing-pyramid.pptx"
"Engineering Handbook","Naming Conventions","Architecture Office","engineering standard",""
"Project Setups","Billing Service Setup","Payments Team","project setup record","billing-service-readme.md; billing-architecture-overview.docx"
"Project Setups","Web App Setup","Frontend Team","project setup record","web-app-env.txt"
"Project Setups","Search Service Setup","Platform Team","project setup record",""
"Project Setups","Data Pipeline Setup","Data Team","project setup record",""
"Project Setups","Mobile App Setup","Mobile Team","project setup record",""
"Project Setups","Internal CLI Setup","Developer Platform","project setup record",""
"Releases and Deployment","Production Release Process","Release Management","release process","release-checklist.pdf; release-process-overview.pptx"
"Releases and Deployment","Rollback Procedure","Release Management","release process",""
"Releases and Deployment","Feature Flag Management","Platform Team","release process",""
"Releases and Deployment","Staging Environment Policy","Platform Team","release process",""
"Releases and Deployment","Release Notes and Changelog","Product Engineering","release process",""
"Runbooks and Troubleshooting","High API Latency Runbook","Platform Team","runbook","api-latency-runbook.md"
"Runbooks and Troubleshooting","Failed Deployment Runbook","Release Management","runbook",""
"Runbooks and Troubleshooting","Database Connection Errors","Data Team","runbook",""
"Runbooks and Troubleshooting","Docker Compose Port Conflict","Developer Platform","runbook","common-local-ports.txt"
"Runbooks and Troubleshooting","Vector Search Returns No Results","Platform Team","runbook",""
"Internal Tools and Access","GitHub Access and Teams","Developer Platform","tool access guide",""
"Internal Tools and Access","Secrets Vault Usage","Security Engineering","tool access guide",""
"Internal Tools and Access","CI Pipeline Access and Reruns","Build Infrastructure","tool access guide",""
"Internal Tools and Access","Observability Stack Access","Platform Team","tool access guide",""
"Internal Tools and Access","Jira Projects and Boards","Engineering Operations","tool access guide",""
"IT Support","VPN Access and Recovery","Network Services","IT support procedure",""
"IT Support","MFA Device Replacement","Identity Team","IT support procedure",""
"IT Support","Laptop Replacement and Repair","Endpoint Engineering","IT support procedure",""
"IT Support","Software Installation Requests","Endpoint Engineering","IT support procedure",""
"IT Support","Email and Distribution Lists","Collaboration Services","IT support procedure",""
"People and HR","Paid Time Off Policy","People Operations","HR policy","pto-policy-summary.pdf"
"People and HR","Remote and Hybrid Work","People Operations","HR policy",""
"People and HR","On-Call Compensation","People Operations","HR policy",""
"People and HR","Performance Review Cycle","People Operations","HR policy",""
"People and HR","Health Insurance and Benefits Enrollment","Benefits Team","HR policy","benefits-overview.docx"
"People and HR","Learning and Development Budget","Learning and Development","HR policy",""
"Finance and Procurement","Expense Reimbursement","Finance Operations","finance process","expense-policy.pdf"
"Finance and Procurement","Software and SaaS Purchasing","Procurement","finance process",""
"Finance and Procurement","Cloud Cost Management","Cloud FinOps","finance process",""
"Finance and Procurement","Vendor Invoice Processing","Accounts Payable","finance process",""
"Finance and Procurement","Team Budget and Forecast","Program Finance","finance process",""
"Security and Compliance","Data Classification Policy","Security Engineering","security policy","data-classification-policy.pdf"
"Security and Compliance","Security Incident Response","Security Operations","security policy","incident-response-plan.docx"
"Security and Compliance","Access Reviews","Security Engineering","security policy",""
"Security and Compliance","Secure Coding Guidelines","Security Engineering","security policy",""
"Security and Compliance","Vendor Risk and SOC 2 Evidence","Compliance","security policy",""
